#=========== 0 ===========#
12,  9,  9, 10, 14,  8, 11, 14
14, 10, 12, 15, 13, 13, 15, 11
15, 12,  5, 13, 15,  8, 15, 15
15, 12,  8, 12, 15,  9, 12, 15
 7, 13, 13, 14, 12, 12, 11, 14
15, 13, 13,  4, 13, 15, 15,  6
12, 14, 10, 14,  3, 13, 14, 10
12, 10, 15, 15, 15, 14, 13, 15


#=========== 1 ===========#
14, 15, 13, 10,  9, 12, 15, 13
14, 13, 14,  6,  6,  7, 15,  9
12,  8, 14, 13, 12, 10, 15, 11
15, 12,  7, 13, 12, 13,  9, 13
12, 12, 11, 10, 14, 10, 14, 14
15, 14, 11, 14, 12, 15,  8, 15
15, 13, 15, 15, 10, 15,  9, 14
10, 12,  7, 13, 15, 13, 11, 14


#=========== 2 ===========#
13,  9, 14, 14, 15,  6, 11, 10
 9, 14, 15, 13, 15, 11, 14, 13
15, 13, 14, 15, 15, 15, 15,  8
13,  5, 15, 15, 13, 12, 13, 14
14, 15, 15, 14, 13, 15,  7, 11
15,  9, 15, 12, 12,  9, 14, 11
12, 11, 14, 14, 14, 15, 15, 13
15,  8, 14, 11, 10, 15, 13, 11


#=========== 3 ===========#
11, 11, 14,  7, 13,  9, 15, 14
15, 11, 14, 14, 15, 10, 14, 13
15, 15, 11, 13, 15, 15, 15, 11
12, 12,  3, 12, 14, 15, 12,  7
15, 14, 13, 14, 15, 12, 13, 10
15, 13, 14,  8, 12, 14, 11, 15
10, 15, 15, 14, 15, 15,  9, 11
12, 15, 15, 15, 15, 13, 11, 15


#=========== 4 ===========#
 9, 15,  8, 13, 15, 13, 12, 14
15, 15, 13, 13, 14, 15, 14,  6
13, 14, 12,  8, 11, 12, 14, 12
13, 10, 14,  9, 12, 12, 14, 13
11, 11, 15, 15, 15, 12, 15, 12
 9, 10, 13, 15, 15, 14, 14,  6
15,  8, 11, 15, 13, 14,  9, 15
12, 10, 13, 12, 13, 12, 11, 12


#=========== 5 ===========#
14, 15, 10, 11, 14, 15, 12, 14
11, 12, 13, 13, 15, 15,  9, 12
10, 15,  8, 13, 13, 14, 10,  8
15, 15, 12, 14, 11, 10, 11, 15
15,  8, 15, 13, 14,  9,  8, 15
13,  8, 10, 14, 14, 11, 15, 14
13, 15, 10, 14,  9, 13, 15, 14
10, 11, 14, 15, 15, 15, 12, 15


#=========== 6 ===========#
12, 15, 12, 12, 13, 15, 15, 12
15, 14, 12, 14, 13, 15, 14, 14
11, 12, 15, 11, 12,  8, 14, 14
14,  8,  9,  9, 12, 13, 11, 14
12, 14, 10, 14, 14, 15, 14, 13
12, 14, 14,  9, 11, 13, 13, 14
14,  9, 13, 14, 14, 13, 12, 11
