#=========== 0 ===========#
11,  0, 11,  5
12, 13,  7,  7
 6,  2,  4,  8
 7,  7,  5,  8


#=========== 1 ===========#
 1,  8,  4,  7
 8,  0,  1, 15
 4,  1,  3,  8
14, 10,  3, 10


#=========== 2 ===========#
 5,  8, 15,  5
 4,  4, 12, 12
 4, 11,  7, 12
 3, 10,  6, 14


#=========== 3 ===========#
 5, 11, 13, 15
 2,  3,  7,  4
 4,  6,  0,  3
 5,  7, 15,  3


#=========== 4 ===========#
11,  2, 10, 10
 4,  8, 12,  0
 4,  6, 11,  3
 9,  8,  8,  9


#=========== 5 ===========#
 5,  2, 13,  4
 3, 10,  0,  0
 2, 13,  3,  0
 4, 10,  4, 11


#=========== 6 ===========#
 7,  6, 10, 14
 4,  1,  1,  8
 9,  1,  2,  8
 6,  0, 13,  3


#=========== 7 ===========#
11,  6, 10, 13
 9, 13, 11,  1
 7, 14,  0,  1
 2,  5,  3, 11


#=========== 8 ===========#
11,  9,  3, 11
11,  2, 13,  1
 9, 10,  4,  7
13, 12, 10,  6


#=========== 9 ===========#
 7,  9, 12,  7
 0, 10,  9,  7
13, 15,  9,  1
15, 11,  1,  3


#=========== 10 ===========#
14,  5, 13, 13
 8,  4, 11,  4
14,  5,  6,  2
 3, 15,  1, 15


#=========== 11 ===========#
13,  8,  6, 15
12,  7,  5,  2
14,  3,  3,  1
 6, 10,  9,  1


#=========== 12 ===========#
 5, 12,  8,  3
15,  3,  3,  0
15,  0,  5,  7
11, 13, 13, 15


#=========== 13 ===========#
 3,  9,  3,  6
 0,  9,  4, 15
 3,  0, 13,  2
15,  1, 13, 10


#=========== 14 ===========#
14, 11,  4,  4
 7, 14,  8, 15
 6, 12,  3,  1
15, 13,  2, 12


#=========== 15 ===========#
 9, 10, 15,  0
 9, 12, 13,  8
12,  0,  9,  8
 3,  2, 10,  4


