#=========== 0 ===========#
13, 11
 7,  8


#=========== 1 ===========#
 8, 15
14, 10


#=========== 2 ===========#
 8, 15
11, 14


#=========== 3 ===========#
11, 15
 7, 15


#=========== 4 ===========#
11, 12
 9, 11


#=========== 5 ===========#
10, 13
13, 11


#=========== 6 ===========#
 7, 14
 9, 13


#=========== 7 ===========#
13, 13
14, 11


#=========== 8 ===========#
11, 13
13, 10


#=========== 9 ===========#
10, 12
15,  9


#=========== 10 ===========#
14, 13
15, 15


#=========== 11 ===========#
13, 15
14,  9


#=========== 12 ===========#
15,  8
15, 15


#=========== 13 ===========#
 9, 15
15, 13


#=========== 14 ===========#
14, 15
15, 12


#=========== 15 ===========#
12, 15
12, 10


