#=========== 0 ===========#
15, 15, 11, 15
14, 12, 11,  9
 8, 12, 13,  5
11, 15, 14,  6
14, 15,  6, 13


#=========== 1 ===========#
13, 14, 12, 13
15, 10, 12, 14
15, 12, 13,  9
11, 14,  9, 10
13, 13,  9, 10


#=========== 2 ===========#
15, 11, 14, 12
13, 12, 15, 14
13, 13,  9, 15
11, 14, 10,  7
15,  9, 13, 15


#=========== 3 ===========#
 8, 15, 13, 14
 6, 15, 15, 14
14,  8, 15, 14
13,  9, 14, 12
11, 14, 14, 12


#=========== 4 ===========#
13, 13,  6, 14
14, 13, 13,  8
13, 15, 12, 14
15, 14, 10, 12
10, 15, 10, 13


#=========== 5 ===========#
10, 15, 15, 13
12, 13, 12, 14
14, 15,  5, 10
 7, 15,  7, 11
14, 12,  4, 13


#=========== 6 ===========#
12, 12, 15, 15
14,  8,  7, 12
14, 14, 15, 11
10, 13, 11,  8
11,  9, 13, 14


#=========== 7 ===========#
14, 14, 15, 15
10, 13, 11, 12
14, 14, 14, 13
15, 11, 14, 15
 8, 15, 13, 11


#=========== 8 ===========#
12, 15, 15, 12
11, 14, 14, 10
15, 13, 10, 14
11, 10, 14, 15
 8, 12,  9, 15


#=========== 9 ===========#
 9, 15, 13,  6
 9, 14, 13,  9
15, 12, 12,  9
15, 14, 12, 15
 9, 14, 13, 13


#=========== 10 ===========#
 8, 11, 11, 15
 7,  9, 14, 14
10, 12, 14,  9
 6,  7, 11, 13
13, 15, 12, 15


#=========== 11 ===========#
11, 11, 13, 14
12, 15, 15,  8
15, 13, 13,  9
15, 11, 15, 13
15, 15, 13, 10


